molecule_chembl_id,pchembl_value,standard_type,standard_units,standard_value,type,units,value,SMILES
CHEMBL4743210,8.26,IC50,nM,5.48,IC50,nM,5.48,COc1cc(CNC(=O)CCCCNc2c3c(nc4cc(Cl)ccc24)CC2C=C(C)CC3C2)ccc1O
CHEMBL4788434,8.36,IC50,nM,4.35,IC50,nM,4.35,COc1cc(CNC(=O)CCCCCNc2c3c(nc4cc(Cl)ccc24)CC2C=C(C)CC3C2)ccc1O
CHEMBL4754487,9.11,IC50,nM,0.77,IC50,nM,0.77,COc1cc(CNC(=O)CCCCCCNc2c3c(nc4cc(Cl)ccc24)CC2C=C(C)CC3C2)ccc1O
CHEMBL4748114,8.71,IC50,nM,1.94,IC50,nM,1.94,COc1cc(CNC(=O)CCCCCCCNc2c3c(nc4cc(Cl)ccc24)CC2C=C(C)CC3C2)ccc1O
CHEMBL4782921,8.53,IC50,nM,2.94,IC50,nM,2.94,COc1cc(CNC(=O)CCCCCCCCNc2c3c(nc4cc(Cl)ccc24)CC2C=C(C)CC3C2)ccc1O
CHEMBL4782267,7.6,IC50,nM,24.9,IC50,nM,24.9,COc1cc(CNC(=O)c2ccc(CNc3c4c(nc5cc(Cl)ccc35)CC3C=C(C)CC4C3)cc2)ccc1O
CHEMBL4741162,8.36,IC50,nM,4.41,IC50,nM,4.41,COc1cc(CNC(=O)CCCC/C=C/CNc2c3c(nc4cc(Cl)ccc24)CC2C=C(C)CC3C2)ccc1O
CHEMBL4794769,8.25,IC50,nM,5.64,IC50,nM,5.64,COc1cc(CNC(=O)CCCC/C=C/CCCNc2c3c(nc4cc(Cl)ccc24)CC2C=C(C)CC3C2)ccc1O
CHEMBL4744528,8.97,IC50,nM,1.06,IC50,nM,1.06,COc1cc(CNC(=O)Cc2cn(CCCCC3=CC4Cc5nc6cc(Cl)ccc6c(N)c5C(C3)C4)nn2)ccc1O
CHEMBL140476,8.97,IC50,nM,1.07,IC50,nM,1.07,CC1=CC2Cc3nc4cc(Cl)ccc4c(N)c3C(C1)C2
CHEMBL4754487,9.03,Kd,nM,0.94,Kd,nM,0.94,COc1cc(CNC(=O)CCCCCCNc2c3c(nc4cc(Cl)ccc24)CC2C=C(C)CC3C2)ccc1O
CHEMBL4754487,9.17,Ki,nM,0.68,Ki,nM,0.68,COc1cc(CNC(=O)CCCCCCNc2c3c(nc4cc(Cl)ccc24)CC2C=C(C)CC3C2)ccc1O
CHEMBL4754487,9.03,Ki,nM,0.94,Ki,nM,0.94,COc1cc(CNC(=O)CCCCCCNc2c3c(nc4cc(Cl)ccc24)CC2C=C(C)CC3C2)ccc1O
CHEMBL4795992,6.34,IC50,nM,460,IC50,uM,0.46,Cn1c(=O)sc2cc(C(=O)CCN3CCN(Cc4ccccc4)CC3)ccc21
CHEMBL502,7.32,IC50,nM,48,IC50,uM,0.048,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2
CHEMBL4780148,7.3,IC50,nM,50,IC50,uM,0.05,COc1cc2c(cc1OC)/C(=C/c1ccc(N3CCCCC3)c(O)c1)OC2=O
CHEMBL4778409,7.92,IC50,nM,12,IC50,uM,0.012,COc1cc2c(cc1OC)/C(=C\c1ccc(N3CCCCC3)c(O)c1)OC2=O
CHEMBL4761887,8.81,IC50,nM,1.55,IC50,10^-3microM,1.55,CCN(CC)c1cc(/C=C2\OC(=O)c3cc(OC)c(OC)cc32)ccc1O
CHEMBL4778167,8.89,IC50,nM,1.28,IC50,10^-3microM,1.28,CCN(CC)c1cc(/C=C2/OC(=O)c3cc(OC)c(OC)cc32)ccc1O
CHEMBL502,7.5,IC50,nM,32,IC50,uM,0.032,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2
CHEMBL636,4.96,IC50,nM,10900,IC50,uM,10.9,CCN(C)C(=O)Oc1cccc([C@H](C)N(C)C)c1
CHEMBL4789991,4.72,IC50,nM,19120,IC50,umol/L,19.12,O=C1c2ccccc2C(=O)C12N1CSC[C@@H]1[C@@H](c1cccs1)[C@@]21CSc2ccccc2C1=O
CHEMBL4757955,4.78,IC50,nM,16480,IC50,umol/L,16.48,O=C1c2ccccc2C(=O)C12N1CSC[C@@H]1[C@@H](c1cccc3ccccc13)[C@@]21CSc2ccccc2C1=O
CHEMBL4797884,4.71,IC50,nM,19480,IC50,umol/L,19.48,O=C1c2ccccc2C(=O)C12N1CSC[C@@H]1[C@@H](c1ccc(Cl)cc1Cl)[C@@]21CSc2ccccc2C1=O
CHEMBL4748587,4.48,IC50,nM,33160,IC50,umol/L,33.16,O=C1c2ccccc2C(=O)C12N1CSC[C@@H]1[C@@H](c1ccccc1Cl)[C@@]21CSc2ccccc2C1=O
CHEMBL4797575,4.42,IC50,nM,38340,IC50,umol/L,38.34,O=C1c2ccccc2C(=O)C12N1CSC[C@@H]1[C@@H](c1cccc(Br)c1)[C@@]21CSc2ccccc2C1=O
CHEMBL4761620,4.91,IC50,nM,12240,IC50,umol/L,12.24,O=C1c2ccccc2C(=O)C12N1CSC[C@@H]1[C@@H](c1cccc(F)c1)[C@@]21CSc2ccccc2C1=O
CHEMBL4752440,5.96,IC50,nM,1100,IC50,umol/L,1.1,COc1ccc([C@@H]2[C@H]3CSCN3C3(C(=O)c4ccccc4C3=O)[C@]23CSc2ccccc2C3=O)cc1
CHEMBL4756742,4.55,IC50,nM,28340,IC50,umol/L,28.34,CC(C)c1ccc([C@@H]2[C@H]3CSCN3C3(C(=O)c4ccccc4C3=O)[C@]23CSc2ccccc2C3=O)cc1
CHEMBL4760400,5.15,IC50,nM,7110,IC50,umol/L,7.11,Cc1ccc([C@@H]2[C@H]3CSCN3C3(C(=O)c4ccccc4C3=O)[C@]23CSc2ccccc2C3=O)cc1
CHEMBL4754171,4.89,IC50,nM,12860,IC50,umol/L,12.86,O=C1c2ccccc2C(=O)C12N1CSC[C@@H]1[C@@H](c1ccccc1)[C@@]21CSc2ccccc2C1=O
CHEMBL4762214,4.46,IC50,nM,34560,IC50,umol/L,34.56,O=C1c2ccccc2C(=O)C12N1CSC[C@@H]1[C@@H](c1ccc(Br)cc1)[C@@]21CSc2ccccc2C1=O
CHEMBL4743869,4.67,IC50,nM,21280,IC50,umol/L,21.28,O=C1c2ccccc2C(=O)C12N1CSC[C@@H]1[C@@H](c1ccc(Cl)cc1)[C@@]21CSc2ccccc2C1=O
CHEMBL4788300,4.7,IC50,nM,19800,IC50,umol/L,19.8,O=C1c2ccccc2C(=O)C12N1CSC[C@@H]1[C@@H](c1ccc(F)cc1)[C@@]21CSc2ccccc2C1=O
CHEMBL4763528,4.67,IC50,nM,21160,IC50,umol/L,21.16,CN1C[C@@H](c2cccs2)[C@@]2(CSc3ccccc3C2=O)C12C(=O)c1ccccc1C2=O
CHEMBL4794820,5.67,IC50,nM,2120,IC50,umol/L,2.12,CN1C[C@@H](c2cccc3ccccc23)[C@@]2(CSc3ccccc3C2=O)C12C(=O)c1ccccc1C2=O
CHEMBL4780172,4.62,IC50,nM,24120,IC50,umol/L,24.12,CN1C[C@@H](c2ccc(Cl)cc2Cl)[C@@]2(CSc3ccccc3C2=O)C12C(=O)c1ccccc1C2=O
CHEMBL4755928,4.57,IC50,nM,27100,IC50,umol/L,27.1,CN1C[C@@H](c2ccccc2Br)[C@@]2(CSc3ccccc3C2=O)C12C(=O)c1ccccc1C2=O
CHEMBL4754607,5,IC50,nM,10110,IC50,umol/L,10.11,CN1C[C@@H](c2ccccc2Cl)[C@@]2(CSc3ccccc3C2=O)C12C(=O)c1ccccc1C2=O
CHEMBL4739877,4.7,IC50,nM,19800,IC50,umol/L,19.8,CN1C[C@@H](c2cccc(Br)c2)[C@@]2(CSc3ccccc3C2=O)C12C(=O)c1ccccc1C2=O
CHEMBL4799570,4.61,IC50,nM,24560,IC50,umol/L,24.56,CN1C[C@@H](c2cccc(F)c2)[C@@]2(CSc3ccccc3C2=O)C12C(=O)c1ccccc1C2=O
CHEMBL4747183,5.94,IC50,nM,1160,IC50,umol/L,1.16,COc1ccc([C@@H]2CN(C)C3(C(=O)c4ccccc4C3=O)[C@]23CSc2ccccc2C3=O)cc1
CHEMBL4791084,4.7,IC50,nM,19800,IC50,umol/L,19.8,CC(C)c1ccc([C@@H]2CN(C)C3(C(=O)c4ccccc4C3=O)[C@]23CSc2ccccc2C3=O)cc1
